,User,Tweet
0,ivanadolfogaln,"RT @lilulema: @VickyDavilaH Pero NUNCA mostraron la propaganda negra que le hacían a Petro y aún le hacen con JJ Rendón 
Y las bodegas urib…"
1,Carolin92387192,"RT @CarlosCarrilloA: Señor @juanmanuelgalan, el Transmimetro de @EnriquePenalosa ni siquiera tiene hoy completos sus diseños: no mienta. ¿V…"
2,lozano28081,RT @VickyDavilaH: “No grabemos esto”: asesor de Petro dice que hay que vender a sus rivales como los de la “política de la muerte” https://…
3,JorgeRi51030641,RT @Don_Patriota1: La vida de Vicky Dávila y Rodolfo Hernández corren peligro. Ojalá Gustavo Petro no los mande a asesinar. #PetroElSucio
4,franck_ram,"RT @_Gelver_: Vicky Dávila directora de Revista Semana ocultó información sobre el laboratorio de cocaína del ex embajador Sanclemente, mie…"
5,BederUsma,"RT @AdamSmithFree: 👉 Gustavo Petro, Roy Barreras, Armando Benedetti, ELN, FARC y todas las bandas criminales que trabajan para el #PactoDeL…"
6,Anibal76857747,"RT @danielamercadom: Esto es el pacto de la Picota: hacer acuerdos con extraditables a cambio de votos por el candidato. Y no, estas no son…"
7,MissPandebonos,"RT @davidcancino: Con los Petrovideos y la manipulación del secuestro de la hija de Rodolfo, se rompió toda posibilidad de diálogo y racioc…"
8,Dayis_Jaramillo,"RT @tavo2366: Los videos están demostrando lo que todos sospechábamos:

Gustavo Petro es un tipo decente."
9,Guiller_Rubiano,RT @RafaNietoLoaiza: Grabaciones filtradas dicen que un empresario pagó equipo de comunicaciones de Petro. El empresario dice que sí le pag…
10,Avatar91029593,"RT @GustavoBolivar: Con el triunfo de Gustavo Petro y Francia Marquez, a Macondo, a Magdalena y a Colombia se le acabarán los 100 años de a…"
11,javicamachofor,"RT @tavo2366: Los videos están demostrando lo que todos sospechábamos:

Gustavo Petro es un tipo decente."
12,F_Gonzalezqwe,@JulianRoman Rodolfo Hernández presidente mil veces Petro genocida indultado mentiroso vergonzoso su actuación en t… https://t.co/MUxQK3x51R
13,JorgeCalpa1,"RT @Ryan_Thomas1975: Cada ataque de Duque por el mundo contra el candidato, es un voto más firme de un Colombiano por Petro...
Ni yo lo hub…"
14,JFValenciaF,"RT @davidcancino: Con los Petrovideos y la manipulación del secuestro de la hija de Rodolfo, se rompió toda posibilidad de diálogo y racioc…"
15,HernandoSilvers,"RT @alejarojas_g: El Tracking presidencial:

Gustavo Petro 48,1%
Rodolfo Hernández 46,8%

Con los buenoskys dias 😍"
16,andreslara501,Se viene el video de Petro esnifando cocaína en el ombligo de un transexual 😱 https://t.co/tP0YXAK0RK
17,LaConstwitt,@agor_col @AnarcoNoventero Lo de la viga en el ojo nos cae a todxs. También he escuchado absurdos sobre Petro y nos… https://t.co/jPTRZfm5SN
18,waam1984,RT @juanialferez: Lo que esta haciendo Gustavo petro ahora mismo es de una grandeza. Esta exigiendo a vicky davila que muestre los vídeos c…
19,LopezHAlexa,RT @gabocifuentes: Gustavo Petro tiene enormes chances de ganar. Y aún así los Gilinsky siguen haciendo OPAs (Oferta Pública de Adquisición…
20,Sixela73590390,RT @IvanCepedaCast: Boric respalda a Petro de cara a las elecciones en Colombia https://t.co/8yQ3QSarpV vía @elpaisamericaco
21,CorrealCi_juan,"RT @RevistaSemana: En una grabación conocida en exclusiva por SEMANA, se pudo escuchar como Verónica Alcocer, esposa de Gustavo Petro, le d…"
22,JohnGon25893252,"RT @MariaFdaCabal: Así nos construyeron -a quienes hemos sido sus rivales-, nuestras biografías. Nos convirtieron en  asesinos, desplazador…"
23,Zuly62303836,"RT @Boniito_asi: @Margaritarosadf Si, yo lo veo, veo a un Petro que NUNCA va a quedarse en una casa humilde para conocer sus necesidades.…"
24,ImJessLovato,"RT @FisicoImpuro: Ya que Vicky Davila chuzó toda la campaña de Gustavo Petro y Francia Márquez, por qué no sacan las grabaciones donde los…"
25,chigorodo1105,RT @infobaecolombia: Pruebas demostrarían que Daniel Quintero desvió recursos de la Alcaldía de Medellín para la campaña de Gustavo Petro h…
26,jolumoga,"RT @JACOBOSOLANOC: Encuesta IMVAMER: Rodolfo Hernández (48,2 %) supera a Gustavo Petro (47,2 %)  empate técnico. Elecciones de infarto."
27,KakashiSitp,"RT @tavo2366: Los videos están demostrando lo que todos sospechábamos:

Gustavo Petro es un tipo decente."
28,salvador_mallo,RT @elcachaco: Becassino escondiendo a Hernandez para que no vaya a embarrarla en el momento de mayor cuestionamiento a Petro y estando de…
29,guelmiaguero,"RT @RevistaSemana: En una grabación conocida en exclusiva por SEMANA, se pudo escuchar como Verónica Alcocer, esposa de Gustavo Petro, le d…"
30,Carlosg38984106,"@VickyDavilaH No mostró videos, editó unos vídeos y mostró lo que quería mostrar, lo que usted hizo fué mostrar el… https://t.co/WAXFXLKoAI"
31,DavidFerGarciaA,"RT @alejarojas_g: El Tracking presidencial:

Gustavo Petro 48,1%
Rodolfo Hernández 46,8%

Con los buenoskys dias 😍"
32,HermanWilches,"@calderonwiliams Pero completos nada fuera de contexto, muestrenos los 9 meses de espionaje de la campaña de Petro, me interesa"
33,DianaGu43563318,"RT @OscarArroyave7: ¡Quienes me pueden confirmar que van a votar por Gustavo Petro para que nos sigamos de inmediato! (""Copie y pegue"") htt…"
34,osolonska,@petro_lytvyn Ю
35,jacramr,"RT @Enrique_GomezM: La falsa retórica de estalinista de Petro y Barreras: lo grave no fue quemar el Palacio, sino tratar de recuperarlo, lo…"
36,jeisonsarmien14,"RT @GustavoBolivar: Con el triunfo de Gustavo Petro y Francia Marquez, a Macondo, a Magdalena y a Colombia se le acabarán los 100 años de a…"
37,julichacon82,RT @FisicoImpuro: Egan Bernal se va a ir de culo cuando se entere que Gabriel García Márquez era más de izquierda que el mismísimo Gustavo…
38,JulioPenarandaC,"RT @tavo2366: Los videos están demostrando lo que todos sospechábamos:

Gustavo Petro es un tipo decente."
39,calonso2006hot1,RT @juanialferez: Lo que esta haciendo Gustavo petro ahora mismo es de una grandeza. Esta exigiendo a vicky davila que muestre los vídeos c…
40,GaravitoZoraida,RT @IvanCepedaCast: Hoy estaré en Cartagena hablando con pescadores e invitando a la ciudadanía a votar por Petro y Francia: https://t.co/w…
